claim_id,pet_id,provider_id,month,region,provider_type,species,breed_group,age,complexity,condition,treatment,units,unit_price,paid,referred,vet_note,source
C0000000,P1179,VET-001,2025-01,metro,gp,cat,medium,10,1,gastroenteritis,pathology,1,227.62,227.62,false,gastroenteritis; age 10; complexity 1; managed in setting,synthetic-v1
C0000001,P0390,VET-001,2025-01,metro,gp,cat,large,11,0,gastroenteritis,consult,2,194.65,389.30,false,gastroenteritis; age 11; complexity 0; repeat visit; managed in setting,synthetic-v1
C0000002,P1324,VET-001,2025-01,metro,gp,dog,mixed,8,1,dermatitis,consult,1,189.00,189.00,false,dermatitis; age 8; complexity 1; repeat visit; managed in setting,synthetic-v1
C0000003,P1961,VET-001,2025-01,metro,gp,cat,mixed,14,1,otitis,cytology,1,118.00,118.00,false,otitis; age 14; complexity 1; repeat visit; managed in setting,synthetic-v1
C0000004,P0267,VET-001,2025-01,metro,gp,dog,mixed,2,0,gastroenteritis,consult,1,181.34,181.34,false,gastroenteritis; age 2; complexity 0; managed in setting,synthetic-v1
C0000005,P2187,VET-001,2025-01,metro,gp,dog,large,14,0,gastroenteritis,consult,1,225.64,225.64,true,gastroenteritis; age 14; complexity 0; referral noted,synthetic-v1
C0000006,P0637,VET-001,2025-01,metro,gp,cat,large,5,0,dermatitis,medication,1,129.16,129.16,false,dermatitis; age 5; complexity 0; managed in setting,synthetic-v1
C0000007,P1284,VET-001,2025-01,metro,gp,dog,mixed,11,0,otitis,cytology,1,115.93,115.93,false,otitis; age 11; complexity 0; managed in setting,synthetic-v1
C0000008,P1380,VET-001,2025-01,metro,gp,dog,large,13,0,dermatitis,medication,2,136.52,273.05,false,dermatitis; age 13; complexity 0; managed in setting,synthetic-v1
C0000009,P2178,VET-001,2025-01,metro,gp,cat,medium,12,0,otitis,consult,1,175.84,175.84,false,otitis; age 12; complexity 0; managed in setting,synthetic-v1
C0000010,P0307,VET-001,2025-01,metro,gp,cat,large,4,1,gastroenteritis,consult,1,176.91,176.91,false,gastroenteritis; age 4; complexity 1; managed in setting,synthetic-v1
C0000011,P0764,VET-001,2025-01,metro,gp,cat,large,7,0,gastroenteritis,consult,2,184.26,368.51,true,gastroenteritis; age 7; complexity 0; referral noted,synthetic-v1
C0000012,P0093,VET-001,2025-01,metro,gp,dog,large,9,0,dermatitis,consult,1,151.04,151.04,false,dermatitis; age 9; complexity 0; managed in setting,synthetic-v1
C0000013,P1994,VET-001,2025-01,metro,gp,dog,small,6,1,dermatitis,medication,1,147.07,147.07,false,dermatitis; age 6; complexity 1; managed in setting,synthetic-v1
C0000014,P0688,VET-001,2025-01,metro,gp,dog,mixed,11,1,dermatitis,medication,2,174.49,348.98,false,dermatitis; age 11; complexity 1; repeat visit; managed in setting,synthetic-v1
C0000015,P1761,VET-001,2025-01,metro,gp,dog,mixed,10,2,otitis,consult,1,193.94,193.94,false,otitis; age 10; complexity 2; managed in setting,synthetic-v1
C0000016,P2130,VET-001,2025-01,metro,gp,dog,large,9,0,dermatitis,medication,2,139.11,278.22,false,dermatitis; age 9; complexity 0; managed in setting,synthetic-v1
C0000017,P2355,VET-001,2025-01,metro,gp,dog,mixed,13,0,otitis,cytology,1,122.61,122.61,false,otitis; age 13; complexity 0; repeat visit; managed in setting,synthetic-v1
C0000018,P2257,VET-001,2025-01,metro,gp,dog,large,14,1,dermatitis,consult,1,232.04,232.04,false,dermatitis; age 14; complexity 1; managed in setting,synthetic-v1
C0000019,P1141,VET-001,2025-01,metro,gp,dog,medium,6,1,otitis,cytology,2,103.39,206.78,false,otitis; age 6; complexity 1; repeat visit; managed in setting,synthetic-v1
C0000020,P0367,VET-001,2025-01,metro,gp,dog,small,8,1,dermatitis,consult,2,160.59,321.18,false,dermatitis; age 8; complexity 1; managed in setting,synthetic-v1
C0000021,P1994,VET-001,2025-01,metro,gp,cat,mixed,9,1,otitis,cytology,1,107.86,107.86,false,otitis; age 9; complexity 1; repeat visit; managed in setting,synthetic-v1
C0000022,P2059,VET-001,2025-01,metro,gp,dog,mixed,8,0,dermatitis,medication,1,129.15,129.15,false,dermatitis; age 8; complexity 0; managed in setting,synthetic-v1
C0000023,P1400,VET-001,2025-01,metro,gp,dog,small,14,2,gastroenteritis,pathology,1,265.04,265.04,false,gastroenteritis; age 14; complexity 2; managed in setting,synthetic-v1
C0000024,P1245,VET-001,2025-01,metro,gp,dog,mixed,4,2,gastroenteritis,consult,1,180.78,180.78,false,gastroenteritis; age 4; complexity 2; managed in setting,synthetic-v1
C0001000,P2089,VET-002,2025-01,regional,gp,dog,small,6,1,otitis,consult,2,165.46,330.93,false,otitis; age 6; complexity 1; managed in setting,synthetic-v1
